time,          CPUtotal, CPU0, CPU1, CPU2
1746720182457, 61.904, 100.000, 99.056, 16.470
1746720183500, 61.477, 99.047, 99.047, 13.414
1746720184547, 62.005, 100.000, 100.000, 12.195
1746720185588, 23.880, 38.461, 37.254, 7.291
1746720186608, .738, .990, .990, .980
1746720187631, 58.152, 96.116, 95.238, 10.000
1746720188676, 61.942, 100.000, 100.000, 7.954
1746720189720, 61.741, 100.000, 100.000, 10.112
1746720190763, 63.020, 100.000, 100.000, 13.186
1746720191806, 51.958, 85.436, 85.294, 2.298
1746720192825, 1.719, 2.912, .980, 1.980
1746720193847, 27.877, 48.543, 49.514, 6.382
1746720194884, 59.842, 100.000, 100.000, 12.500
1746720195925, 60.209, 100.000, 100.000, 10.588
1746720196965, 60.000, 100.000, 99.047, 13.483
1746720198002, 59.736, 100.000, 100.000, 10.588
1746720199040, 21.287, 34.951, 34.313, 5.102
1746720200059, .985, .980, .990, .980
1746720201081, 58.355, 100.000, 99.029, 11.363
1746720202121, 58.854, 100.000, 100.000, 8.045
1746720203162, 59.114, 99.038, 99.047, 8.988
1746720204202, 59.114, 100.000, 100.000, 10.344
1746720205239, 49.095, 84.466, 84.000, 6.666
1746720206260, 1.228, .980, 1.941, .990
1746720207281, 29.048, 50.485, 50.980, 7.291
1746720208322, 60.949, 99.047, 99.056, 11.363
1746720209365, 60.846, 100.000, 100.000, 11.235
1746720210404, 60.789, 100.000, 100.000, 10.227
1746720211445, 62.077, 100.000, 100.000, 13.333
1746720212482, 20.443, 32.352, 32.038, 6.930
1746720213503, 1.719, 3.883, 2.912, 2.912
1746720214547, 61.417, 100.000, 100.000, 11.627
1746720215587, 60.104, 100.000, 100.000, 9.411
1746720216626, 60.158, 100.000, 100.000, 10.588
1746720217665, 60.000, 99.047, 100.000, 9.302
1746720218702, 47.012, 79.807, 78.431, 6.818
1746720219721, 1.228, 0, .980, 0
1746720220741, .985, 1.941, .990, 1.941
1746720221763, 1.466, .980, 1.941, .980
1746720222782, 1.225, .980, 1.960, .980
1746720223803, .985, 1.941, .980, 0
1746720224822, .738, 0, .990, .980
1746720225843, 1.225, .980, .980, .980
1746720226864, .982, .980, 0, .980
1746720227885, .737, .980, 1.960, .980
1746720228905, .985, .980, 1.941, 0
1746720229925, .738, .980, .990, .980
1746720230945, 1.715, .980, .990, .980
1746720231966, 1.225, .990, .980, 0
1746720232985, .982, .980, .980, .980
1746720234005, 1.474, 1.960, 1.960, 1.960
1746720235025, .982, .980, .980, 0
1746720236045, .982, .980, .990, 1.941
1746720237066, .982, .990, .980, 0
1746720238085, .982, 0, 1.960, 0
1746720239105, 1.225, 1.941, 0, 1.941
1746720240125, .982, 0, .980, .980
1746720241145, 1.474, 1.941, 3.883, 1.941
1746720242166, .737, 0, 0, .970
1746720243186, .982, .980, .980, 0
1746720244207, 1.225, 0, .980, 1.960
1746720245227, .738, .990, 1.960, 0
1746720246248, .982, 1.941, 1.941, .980
1746720247268, 1.225, 0, 0, .980
1746720248288, .982, 1.941, .980, .980
1746720249307, .982, .980, 1.941, 0
1746720250328, 1.719, .990, 2.970, 1.941
