Random waveform, supplied seed
Total number of intervals = 85 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600)
Average QPS expected = 95797
Timestamp start: 1747359314635
Timestamp end: 1747360164882

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      206.4    94.4    54.7    97.6   106.6   185.9   242.2   270.5   288.6   307.9   330.8   365.6   442.6   626.4  1833.7  80496.4    80574
read      230.2   117.1    63.8   118.5   132.5   211.5   252.7   277.0   295.2   316.9   345.2   392.2   497.9  1251.6  3559.1 168718.1   168820
read      262.3   232.3    59.1   119.4   134.5   224.0   269.3   295.2   314.8   339.3   372.9   436.0  1409.9  3279.1  6236.7 162660.5   162621
read      214.9   156.1    63.8    98.6   108.0   182.4   236.5   269.3   291.4   315.5   344.6   393.7   553.7  2119.1  4725.5 101684.7   101621
read      248.0   192.1    59.1    97.6   107.2   220.9   282.1   315.6   339.2   366.7   400.8   449.7   687.8  2789.3  4455.0  58687.5    58592
read      247.7   260.3    68.9   110.9   123.6   206.1   252.8   279.8   299.7   323.6   356.9   414.9  1352.1  3447.8  7612.7 152914.9   153042
read      207.7   125.8    59.1    99.1   108.7   179.9   230.4   262.2   284.1   308.3   337.2   380.3   480.8  1360.1  4576.7 112100.3   112238
read      232.8   176.1    59.1   113.2   126.6   205.4   249.3   275.0   294.4   317.5   347.8   398.5   554.4  2547.9  5431.3 160179.0   160265
read      210.0   108.5    54.7   100.9   110.9   202.7   246.9   266.3   279.1   294.0   312.9   341.3   413.4   583.7  4725.4  57211.3    57109
read      203.6    88.2    59.1    98.3   107.7   185.4   239.5   266.5   282.7   299.5   319.4   349.0   424.8   554.0  1816.7  88423.4    88551
read      177.2   140.4    59.1   103.2   116.7   171.4   187.5   197.8   205.3   215.2   229.0   251.8   315.8   897.4  8650.6   8429.2     8385
read      203.4    71.3    59.1   104.7   116.0   203.7   232.1   246.6   256.4   269.1   285.2   310.9   370.3   490.1   925.7  34120.9    34088
read      200.0    94.0    59.1    98.7   108.0   176.9   226.1   257.2   277.5   299.1   323.2   358.2   433.7   591.2  2208.1 113445.6   113600

Total QPS = 95778.4 (81411632 / 850.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 20108672610 bytes :   22.6 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.86%,39.39%,100.00%
