Random waveform, supplied seed
Total number of intervals = 170 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555)
Average QPS expected = 91129
Timestamp start: 1747361859825
Timestamp end: 1747362710073

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      218.8   169.7    59.1    99.2   109.0   179.6   227.1   259.8   283.5   310.9   345.5   421.1   796.1  2270.3  4056.6 118987.6   118966
read      190.4    85.1    59.1    98.2   110.4   186.1   211.3   225.9   235.9   249.2   265.9   292.5   370.3   866.0  2071.5  16724.4    16631
read      187.9   202.0    59.1    97.1   108.9   177.5   199.4   212.3   222.0   233.8   250.6   276.1   371.5  2609.2  7885.6  11777.2    11743
read      230.3   166.4    59.1   100.2   110.2   183.4   235.8   273.6   302.4   339.6   400.6   513.3   766.0  1898.7  3623.6 115261.0   115026
read      201.4   117.9    63.8    98.7   108.0   174.3   218.7   249.4   271.6   296.1   325.0   367.1   489.0  1335.1  2753.2 122367.4   122371
read      166.4    95.7    63.8    94.8   105.6   160.9   179.6   189.4   197.3   206.8   219.6   245.2   321.0   984.0  2362.7   7185.0     7198
read      208.8   120.6    59.1    98.6   110.0   199.7   237.5   257.2   269.7   284.1   301.5   330.5   408.2  1664.2  3927.8  24953.6    25022
read      342.0   405.9    54.7   124.6   142.9   255.8   298.2   323.6   344.6   373.9   431.9  1277.6  1710.9  3943.8  8764.0 157314.0   157513
read      219.2   118.3    63.8   114.7   128.0   199.2   237.3   261.1   277.9   298.2   325.2   368.4   482.6  1546.4  3507.6 171845.8   171975
read      201.5    95.3    63.8   105.8   116.3   181.2   218.6   243.7   262.8   285.3   313.6   354.8   447.5   851.7  2467.8 154808.2   154918
read      200.0   116.2    63.8   101.4   111.1   175.8   215.7   243.0   264.1   287.8   316.2   358.0   459.7  1336.7  3366.6 139378.2   139185
read      202.2   108.4    63.8   105.0   115.5   180.4   218.1   243.4   262.8   285.4   313.3   354.0   447.7  1366.0  3150.8 152401.2   152724
read      219.2   644.5    59.1    99.3   111.2   192.6   221.4   237.4   249.9   264.2   282.0   311.6   407.4  8236.8 26864.3  20740.0    20845
read      264.3   353.7    63.8   105.2   116.7   199.1   247.3   273.2   292.2   315.4   347.3   427.9  1706.7  4007.6  7852.1 140566.0   140348
read      232.0   169.5    59.1    97.4   106.7   191.1   259.4   299.5   329.4   364.2   407.3   467.4   588.5  1811.9  6237.3  88806.2    88725
read      277.2   322.4    59.1   104.5   116.1   201.9   249.8   275.7   296.1   321.6   363.9   855.0  1591.7  3296.3  7401.2 134254.4   134088
read      228.4   147.9    59.1    96.7   105.6   203.6   265.1   296.1   318.3   344.6   378.1   429.9   536.6  1427.1  3224.1  66203.0    66126
read      238.2   146.4    63.8    96.4   105.3   203.0   276.9   319.1   348.4   379.6   417.4   466.9   576.2  1536.8  2940.0  78085.6    78214
read      235.0   135.3    59.1    96.5   105.7   215.0   275.2   307.3   328.5   351.4   379.2   423.1   539.2  1509.1  3435.4  55135.8    55191
read      233.9   139.3    63.8    96.3   105.4   214.3   273.3   304.7   325.5   347.9   374.8   419.6   522.4  1729.0  2940.4  53921.6    54081
read      222.1   152.9    59.1    99.6   109.5   181.9   234.2   270.4   296.5   328.1   372.7   463.1   665.5  1739.2  3874.3 112495.8   112478
read      221.9   101.1    63.8   119.5   133.2   206.2   242.8   264.8   280.8   300.1   325.6   366.6   463.2   992.2  2764.3 179958.2   179666
read      229.8   206.1    59.1    98.3   107.7   184.9   246.6   286.8   316.4   353.8   404.1   478.2   625.9  1872.4 11141.7 100436.6   100584
read      235.7   229.5    59.1   101.5   111.6   185.4   232.4   262.1   283.4   308.4   341.3   410.4  1417.7  2508.1  3938.6 128043.4   127920
read      161.4    71.3    63.8    92.2   102.1   155.5   174.3   185.2   193.6   202.7   216.8   239.9   314.7   867.2  1707.5   6599.0     6594
read      207.5   102.7    59.1    98.1   109.9   200.3   237.1   256.1   268.8   283.5   301.2   328.9   403.1   976.7  3326.0  25117.4    25020
read      301.9   402.6    59.1   105.3   117.4   207.7   256.9   284.6   305.7   333.4   381.6  1205.7  2047.1  3732.4  7952.7 129665.2   129587
read      179.4   270.5    63.8    96.0   108.5   171.9   192.9   204.0   213.1   223.5   236.6   262.7   333.3   861.6 17464.5  10329.8    10277
read      306.1   405.2    63.8   112.1   126.5   226.0   270.2   294.0   312.7   337.0   377.2   798.2  2294.4  3933.8  7946.3 148420.0   148458
read      204.8   112.0    59.1    97.6   106.7   191.2   238.9   262.0   276.3   293.0   314.1   345.5   434.1  1031.6  4460.5  66046.6    66114
read      202.5    83.6    59.1    99.1   108.8   197.2   236.1   255.5   268.3   283.1   301.6   331.9   402.3   560.6  2432.5  49225.0    49261
read      196.0   106.9    59.1    98.2   107.5   171.0   212.4   240.7   262.8   287.2   315.4   355.9   461.3  1120.1  2812.6 133125.8   133049
read      198.2   110.1    59.1    95.8   104.3   172.2   221.1   253.4   274.4   296.9   322.6   361.9   465.0   819.8  3464.2 106663.8   106628
read      203.4   170.2    63.8   106.0   119.1   201.0   225.8   238.5   248.7   260.4   274.5   299.6   360.5   528.4 10639.4  23637.0    23498
read      208.7   136.1    54.7    97.8   106.9   179.1   229.8   262.4   283.7   307.4   336.9   388.5   549.5  1470.8  4679.2 103156.2   103564
read      288.0   364.6    63.8   116.3   131.9   228.7   276.7   303.2   321.9   345.5   377.9   441.7  2419.6  3625.6  7894.8 161939.6   161774
read      233.9   156.1    59.1    97.5   107.9   216.5   267.7   293.2   310.8   330.8   356.5   398.3   555.8  2205.6  3919.7  39109.6    39037
read      304.9   387.8    68.9   120.7   137.7   240.9   286.8   311.8   330.3   352.9   386.1   468.0  2083.2  4350.6  7923.1 163697.2   163622
read      213.0   248.1    59.1   100.6   110.6   179.2   222.5   251.6   272.8   297.2   327.9   374.0   627.8  2846.2  7716.1 132454.2   132405
read      202.3   139.0    63.8   100.2   109.8   175.4   217.2   246.2   268.0   292.7   321.5   364.9   483.5  1402.6  5178.7 131713.8   131596
read      217.3   122.6    59.1   114.9   128.1   198.3   235.0   258.2   274.9   295.4   321.6   364.4   468.2  1462.2  3976.0 174726.6   174543
read      230.6   138.7    63.8    97.0   106.2   191.0   261.6   303.1   333.6   368.1   410.1   467.3   579.5  1488.5  2741.8  90527.0    90567
read      251.4   246.7    59.1   101.7   112.2   189.6   246.7   287.8   320.9   369.1   448.4   567.1  1077.7  2690.9  7615.7 116199.4   116582
read      198.2    83.4    59.1    98.2   111.7   194.0   220.5   236.0   248.0   261.2   276.9   303.8   370.7   868.9  2574.8  13912.2    13888
read      305.9   432.1    63.8   104.4   117.0   207.1   257.4   286.5   308.9   339.0   398.3   830.6  2491.9  3610.2  8018.0 119142.4   119224
read      281.1   397.2    59.1   112.8   127.3   220.1   270.1   296.6   315.5   338.0   367.8   422.3  2974.2  3762.4  8114.6 156349.8   156471
read      202.4    86.8    59.1   109.2   119.8   183.9   219.8   243.6   261.9   283.5   310.9   350.3   436.7   706.2  1711.0 163630.4   164013
read      201.1    84.0    59.1   101.0   111.1   201.0   231.6   246.7   256.9   269.3   286.1   315.3   403.7   593.7  2320.4  42059.0    41909
read      206.0   116.2    54.7   101.1   110.7   179.0   224.9   256.4   278.4   302.9   332.5   380.9   531.5   822.0  2440.4 128188.8   128280
read      201.1    93.7    59.1    97.3   106.4   178.0   228.0   258.4   277.5   297.5   321.1   361.2   481.9   762.7  1408.9 107089.0   107066
read      204.6   108.7    54.7   100.4   110.4   201.9   235.1   251.0   262.4   274.7   294.4   331.5   443.7   682.5  2906.0  46171.2    46119
read      170.7    85.5    54.7    97.7   110.5   164.4   184.2   195.3   202.8   213.2   226.7   249.9   329.2   854.9  3759.3  10229.2    10227
read      181.9   123.7    59.1    98.6   111.6   168.5   188.4   200.3   210.2   222.3   241.1   279.8   467.1  1763.8  3989.5  10899.2    10870
read      198.4   130.8    59.1   103.2   113.1   176.4   215.0   241.4   262.2   285.8   313.6   352.4   440.8   727.5  2522.3 146521.6   146664
read      182.7    69.8    59.1   100.6   112.7   181.5   201.6   213.2   221.3   231.5   246.1   270.9   342.4   512.7  1425.9  19852.4    19865
read      197.5    91.0    54.7    98.1   107.3   174.9   221.6   252.3   272.4   293.4   317.5   353.0   440.8   640.3  2188.3 113409.8   113409
read      203.4    89.9    59.1    98.5   107.9   192.2   239.9   261.0   273.9   289.3   308.6   339.8   433.7   646.6  2049.9  70720.0    70623
read      199.9    77.1    59.1    99.5   109.2   198.5   234.7   251.2   262.5   274.2   291.3   318.1   389.6   535.5  1423.3  52653.0    52633
read      197.0    96.9    54.7    96.9   105.7   175.3   224.4   254.6   273.3   292.9   315.6   347.4   425.6   604.7  2657.7 104562.0   104630
read      198.5    72.0    59.1   100.6   110.7   199.3   229.2   243.9   254.0   266.8   282.7   310.8   392.9   548.4   807.1  42520.4    42594
